Table name,Table schema,Object type,Owner,Owner type,Table space,Index table space,Long table space,Organization,Drop rule,Volatile,Row compression mode,Pages saved,Compress,Distribution type,Partition mode,Average row size,Status,Append on model,Row count,Create time,Last used,Altered,Statistic time,Pctfree,Data capture,Size of lock,Logged,Comments,Primary key,Foreign key,Temporal value
BANKACCOUNTS,QDL77284,TABLE,QDL77284,USER,QDL77284SPACE1,,,R,NO, ,NONE,-1,No compression is enabled, ,NO DATABASE PARTITIONING,-1,NORMAL,OFF,-1,2021-08-05 17:29:51:606931,2021-08-05,2021-08-05 17:29:51:761724,,-1,NONE,ROW,NO,,ACCOUNTNUMBER,,NO
CENSUS_DATA,QDL77284,TABLE,QDL77284,USER,QDL77284SPACE1,,,R,NO, ,NONE,-1,No compression is enabled, ,NO DATABASE PARTITIONING,-1,NORMAL,OFF,-1,2021-08-06 07:06:37:322725,2021-08-06,2021-08-06 07:06:37:322725,,-1,NONE,ROW,NO,,,,NO
CHICAGO_CRIME,QDL77284,TABLE,QDL77284,USER,QDL77284SPACE1,,,R,NO, ,NONE,-1,No compression is enabled, ,NO DATABASE PARTITIONING,-1,NORMAL,OFF,-1,2021-08-03 09:52:50:047103,2021-08-03,2021-08-03 09:52:50:047103,,-1,NONE,ROW,NO,,,,NO
CHICAGO_CRIME_DATA,QDL77284,TABLE,QDL77284,USER,QDL77284SPACE1,,,R,NO, ,NONE,-1,No compression is enabled, ,NO DATABASE PARTITIONING,-1,NORMAL,OFF,-1,2021-08-06 07:03:59:803993,2021-08-06,2021-08-06 07:03:59:803993,,-1,NONE,ROW,NO,,,,NO
CHICAGO_PUBLIC_SCHOOLS,QDL77284,TABLE,QDL77284,USER,QDL77284SPACE1,,,R,NO, ,NONE,-1,No compression is enabled, ,NO DATABASE PARTITIONING,-1,NORMAL,OFF,-1,2021-08-06 07:04:51:343814,2021-08-06,2021-08-06 07:04:51:343814,,-1,NONE,ROW,NO,,,,NO
CHICAGO_SCHOOL,QDL77284,TABLE,QDL77284,USER,QDL77284SPACE1,,,R,NO, ,NONE,-1,No compression is enabled, ,NO DATABASE PARTITIONING,-1,NORMAL,OFF,-1,2021-08-03 09:55:17:168482,2021-08-03,2021-08-03 09:55:17:168482,,-1,NONE,ROW,NO,,,,NO
CHICAGO_SOCIOECONOMIC_DATA,QDL77284,TABLE,QDL77284,USER,QDL77284SPACE1,,,R,NO, ,NONE,-1,No compression is enabled, ,NO DATABASE PARTITIONING,-1,NORMAL,OFF,-1,2021-08-02 09:56:05:189258,2021-08-02,2021-08-02 09:56:05:189258,,-1,NONE,ROW,NO,,,,NO
DEPARTMENTS,QDL77284,TABLE,QDL77284,USER,QDL77284SPACE1,,,R,NO, ,NONE,-1,No compression is enabled, ,NO DATABASE PARTITIONING,-1,NORMAL,OFF,-1,2021-07-31 05:43:04:995260,2021-08-06,2021-07-31 05:43:05:162954,,-1,NONE,ROW,NO,,DEPT_ID_DEP,,NO
EMPLOYEES,QDL77284,TABLE,QDL77284,USER,QDL77284SPACE1,,,R,NO, ,NONE,-1,No compression is enabled, ,NO DATABASE PARTITIONING,-1,NORMAL,OFF,-1,2021-07-31 05:43:04:508185,2021-08-05,2021-07-31 05:43:04:653325,,-1,NONE,ROW,NO,,EMP_ID,,NO
INSTRUCTOR,QDL77284,TABLE,QDL77284,USER,QDL77284SPACE1,,,R,NO, ,NONE,-1,No compression is enabled, ,NO DATABASE PARTITIONING,-1,NORMAL,OFF,-1,2021-08-02 10:07:58:836701,2021-08-02,2021-08-02 10:07:59:115698,,-1,NONE,ROW,NO,,ID,,NO
